Episode,Score,Average_Score,Loss,Steps,Time,Epsilon
1,-97.99040865267435,-97.99040865267435,0.727616412954968,86,1.9465184000000004,0.92
2,-522.7375444497796,-310.363976551227,9.147551805542333,137,1.8486836999999996,0.8464
3,-279.2912903330767,-300.0064144785102,13.243649983651018,73,1.0117312999999992,0.778688
4,-88.19823273615724,-247.05436904292196,8.522375923647008,142,2.1394097,0.7163929600000001
5,-123.49075723109195,-222.34164668055595,10.241889863321097,101,1.4992388000000005,0.6590815232000001
6,-140.12730827744085,-208.63925694670343,10.261224879056979,195,3.2413061999999986,0.6063550013440001
7,-205.46455323302172,-208.1857278447489,7.139544034459789,157,2.381700600000002,0.5578466012364801
8,-29.400380131116478,-185.83755938054486,6.899483233844678,193,3.1546658999999977,0.5132188731375618
9,-258.28300284431833,-193.88705309874192,7.1859067929418465,133,2.253979600000001,0.47216136328655683
10,-252.45022849237964,-199.7433706381057,7.466850736328671,248,4.004523599999999,0.4343884542236323
11,-172.70039938911174,-197.284918706379,6.839257428840715,147,2.1873428000000033,0.3996373778857418
12,-285.3866272640789,-204.62672775285398,5.655409816741943,125,1.8919350999999978,0.36766638765488246
13,-62.716756003900855,-193.71057607985762,6.305625466613082,111,2.0483404000000007,0.3382530766424919
14,-66.95950726941123,-184.65692830768285,5.436258302434631,138,2.1165909999999997,0.31119283051109253
15,-109.29093104349487,-179.6325284900703,7.017260100815323,91,1.6532032,0.28629740407020515
16,-73.70827160084575,-173.01226243449378,6.586892691636697,195,3.3558202000000037,0.26339361174458875
17,-43.953985419504804,-165.4205990806709,5.459618542898209,188,3.2743085999999977,0.24232212280502166
18,-111.45672806567998,-162.42260624650476,6.966540016911247,231,3.9772879000000003,0.22293635298061995
19,-28.899099390778943,-155.39505325409814,6.126211504764663,271,4.689708500000002,0.20510144474217037
20,-59.76944645555156,-150.61377291417082,5.046468242391562,390,6.665401199999998,0.18869332916279674
21,-104.14275824807338,-148.40086745388047,5.631936851471663,1000,18.156139099999997,0.17359786282977302
22,-259.8940586942243,-153.468739782987,4.985621910761385,646,11.681112999999996,0.1597100338033912
23,-13.005792564633069,-147.36165512131944,4.458947144448757,128,2.0951570999999944,0.1469332310991199
24,-171.71406539505824,-148.3763388827252,4.801105099022976,507,9.083287600000006,0.13517857261119032
25,-284.3281153794089,-153.81440994259253,6.179252984281072,167,3.1004249000000073,0.1243642868022951
26,-166.9057500357476,-154.3179230230985,5.250005767756934,281,5.077030800000003,0.1144151438581115
27,-148.8294735110039,-154.11464711524314,4.9597357570812965,382,7.014759900000001,0.10526193234946259
28,-98.18488353387691,-152.11715555876577,4.977198282013768,92,1.4725255000000033,0.09684097776150559
29,-21.59146804231122,-147.6162697823363,6.262236003403191,111,2.0662372999999974,0.08909369954058514
30,-135.5851151852453,-147.21523129576659,5.212284579586524,416,7.335445100000001,0.08196620357733833
31,-72.33513084220684,-144.79974418436146,5.381667270775764,124,2.102353199999982,0.07540890729115127
32,-68.94517979206246,-142.42928904710212,6.307846699061432,246,4.515257399999996,0.06937619470785916
33,-46.62820790243846,-139.52622598211232,6.122994571315999,245,4.809525800000017,0.06382609913123043
34,-95.90561193219038,-138.2432667453499,8.634010575636468,198,3.4852301999999895,0.058720011200731996
35,-287.5373131333258,-142.50881092786352,7.508538473017362,294,5.524741599999999,0.05402241030467344
36,-39.09757546140915,-139.6362766093509,7.673589626776761,116,2.293371300000018,0.049700617480299566
37,-52.06044639992675,-137.26936227936648,6.730881682905068,251,4.7396367000000055,0.045724568081875604
38,-28.44556346697604,-134.40557810009304,6.040358882240889,238,4.318421999999998,0.04206660263532556
39,-36.34932403051246,-131.891315175232,8.23762506369463,97,1.5271898999999962,0.03870127442449951
40,-71.61574782590768,-130.38442599149886,6.147511104533547,95,1.810915499999993,0.035605172470539556
41,-10.369172650808878,-127.45722469050641,5.60019539472625,127,2.0063418000000013,0.032756758672896395
42,-131.2595173223511,-127.54775546745508,7.240362689528666,284,5.200706200000013,0.030136217979064683
43,-82.41505207631286,-126.4981577141727,7.271583363348167,227,4.12724879999999,0.02772532054073951
44,-241.06595796585907,-129.10197135625648,4.384819433623152,253,4.591854699999999,0.02550729489748035
45,-39.64013426925928,-127.11393053210098,5.7104004483614395,134,2.0176403000000107,0.023466711305681922
46,-181.9422055090728,-128.3058495533395,7.609973432030529,128,2.361542799999995,0.02158937440122737
47,-113.65765462625518,-127.99418583148663,6.65905990089689,245,4.483436700000027,0.01986222444912918
48,-256.40821730614346,-130.66947815387536,7.800346766457413,165,2.8831154000000083,0.018273246493198846
49,-120.3829831522045,-130.4595496844535,8.259046369109836,175,2.985063299999979,0.01681138677374294
50,-162.05585894346802,-131.09147586963377,6.2789436271355585,159,2.7703228999999965,0.015466475831843504
51,-218.80040306247173,-132.81125875576785,7.596742458724621,269,4.747718899999995,0.014229157765296024
52,-100.9298717504593,-132.1981551595119,5.6948528334748145,358,6.562593199999981,0.013090825144072343
53,-215.7289241177678,-133.7742074040073,4.574739169101326,147,2.4991849000000173,0.012043559132546556
54,-94.88869078718115,-133.05410524443644,4.876913030475378,1000,18.68713120000001,0.011080074401942832
55,-220.78737932656617,-134.64925568229336,3.7109737541686973,209,3.795745199999999,0.010193668449787406
56,-28.85952253155804,-132.7601533046017,4.422308496683836,1000,18.749315600000017,0.01
57,-75.70639481851353,-131.75921017326678,3.5124071289002896,1000,18.916346800000014,0.01
58,-77.3151059668318,-130.8205187214317,4.313534384012223,1000,18.50677250000001,0.01
59,-83.31651443701135,-130.01536610644152,4.288519674271345,1000,19.345334199999968,0.01
60,-102.38169798513013,-129.55480497108633,4.13977693220973,1000,19.252500399999974,0.01
61,-24.151175330150267,-127.82687661631688,3.109351286679506,1000,19.48362020000002,0.01
62,-18.160205479890394,-126.0580593399229,2.6622620079815387,1000,19.194027000000006,0.01
63,-165.3607291276341,-126.68191124131515,2.7704975829629475,203,3.671542899999963,0.01
64,-33.517382056668566,-125.22621547280507,3.4341124026477337,1000,18.83225150000004,0.01
65,-105.87142535643854,-124.92844947101482,3.0378406677246095,1000,20.11833969999998,0.01
66,-2.0792037268652472,-123.06709726277013,3.282867597550154,1000,19.054201200000023,0.01
67,-30.2500196930208,-121.68176774680371,2.9128433275818826,1000,20.005776000000026,0.01
68,-66.5383446943602,-120.87083505485602,2.373049066096544,1000,19.374807900000008,0.01
69,9.030392750198208,-118.98820856492769,2.624631897032261,1000,19.85542190000001,0.01
70,13.96908833334398,-117.08881860923809,2.8799304101765157,1000,19.821649999999977,0.01
71,277.15187327261503,-111.53613280808523,2.7953453599682705,494,9.633349100000032,0.01
72,-72.1077739016396,-110.98851671216238,2.8518995288163422,1000,20.045616699999982,0.01
73,-26.733162855432866,-109.83433378261815,2.471074287855775,636,12.687677600000029,0.01
74,-115.83603461674944,-109.91543784794425,3.160687824466314,502,9.949924999999894,0.01
75,-112.82486442610539,-109.95423020231972,2.765920808080767,671,13.394989799999962,0.01
76,-81.72293286815753,-109.58276576371232,2.9389168096631764,1000,20.145396600000026,0.01
